Meta広告レポート
作成日時,2025/9/9 2:38:33

サマリー
総広告費,2443
CTR,0.562852
CPM,1528
CPA,計算不可

ID,名前,ステータス,目的,作成日,更新日
120235510461060102,20250821売上-LP -9/7,ACTIVE,OUTCOME_SALES,2025-09-07T00:36:55+0900,2025-09-07T00:37:02+0900
120234512227500102,20250821売上-LP,PAUSED,OUTCOME_SALES,2025-08-21T14:43:29+0900,2025-09-07T00:37:35+0900
120234275838550102,20250819売上-LP -,PAUSED,OUTCOME_SALES,2025-08-19T15:35:21+0900,2025-08-21T14:42:47+0900
120233545139200102,20250807売上金融広告 -LP,PAUSED,OUTCOME_SALES,2025-08-07T10:33:46+0900,2025-08-11T07:55:33+0900
120233421694400102,20250805売上金融広告 -LP,PAUSED,OUTCOME_SALES,2025-08-05T13:10:09+0900,2025-08-07T10:34:00+0900
120233277683780102,20250803売上金融広告 -LP,PAUSED,OUTCOME_SALES,2025-08-03T07:24:52+0900,2025-08-05T13:10:20+0900
120232305759190102,20250722売上金融広告 -LP,PAUSED,OUTCOME_SALES,2025-07-22T08:56:38+0900,2025-08-03T07:17:40+0900
120231919779440102,20250715売上金融広告 -LP,PAUSED,OUTCOME_SALES,2025-07-15T01:12:32+0900,2025-07-22T08:57:12+0900
120230510051370102,20250625認知金融広告 -LP,PAUSED,OUTCOME_AWARENESS,2025-06-25T00:18:27+0900,2025-08-19T15:35:47+0900
120230509343190102,20250625売上金融広告 -LP,PAUSED,OUTCOME_SALES,2025-06-24T23:56:30+0900,2025-07-15T01:13:21+0900
120229534348900102,20250613売上金融広告 -LP,PAUSED,OUTCOME_SALES,2025-06-13T00:25:53+0900,2025-06-24T23:59:47+0900
120229534006990102,20250604売上金融広告-会員登録,PAUSED,OUTCOME_SALES,2025-06-13T00:22:45+0900,2025-06-23T14:20:25+0900
120229029927140102,20250607リード金融広告,PAUSED,OUTCOME_LEADS,2025-06-06T23:23:26+0900,2025-06-12T08:02:01+0900
120228850811520102,20250604売上金融広告,PAUSED,OUTCOME_SALES,2025-06-04T13:19:58+0900,2025-06-24T23:43:40+0900
120228756139290102,20250603売上広告　会員登録ターゲットなし,PAUSED,OUTCOME_SALES,2025-06-02T22:26:15+0900,2025-06-04T12:24:39+0900
120228755756050102,20250603売上広告　LPターゲットなし,PAUSED,OUTCOME_SALES,2025-06-02T22:21:47+0900,2025-06-04T12:24:41+0900
120228755146880102,20250603売上広告　HPターゲットなし,PAUSED,OUTCOME_SALES,2025-06-02T22:13:26+0900,2025-06-04T12:24:40+0900
120227702057330102,20250527売上広告,PAUSED,OUTCOME_SALES,2025-05-26T21:58:52+0900,2025-06-02T22:14:05+0900
